HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24,spending_growth,is_new_drug
J9352,"Injection, trabectedin, 0.1 mg",Yondelis,Trabectedin,9458687.28,32430.0,1226.0,306.0,291.6647327,7715.079348,30910.74275,0.0,9056752.88,31144.0,1143.0,308.0,290.8024942,7923.668312,29405.04182,0.0,11938777.2,36991.0,1364.0,338.0,322.7481604,8752.769208,35321.82604,0.0,12203518.49,37046.0,1389.0,346.0,329.4152807,8785.830446,35270.28465,0.0,16085534.35,46921.0,1765,426.0,342.8216438,9113.617196,37759.47031,0,348.74325,0.040697454,0.041228576,-4.249367677583252,False
J9353,"Injection, margetuximab-cmkb, 5 mg",Margenza,Margetuximab-Cmkb,,,,,,,,,2339271.58,54118.0,242.0,78.0,43.2253886,9666.411488,29990.66128,0.0,5879953.01,135373.0,625.0,129.0,43.43519764,9407.924816,45581.03109,0.0,5363231.29,119882.0,533.0,110.0,44.73758604,10062.34764,48756.64809,0.0,5279486.03,112793.0,520,110.0,46.80685885,10152.85775,47995.32755,0,47.60875,0.046253564,0.026889068,,True
J9354,"Injection, ado-trastuzumab emtansine, 1 mg",Kadcyla,Ado-Trastuzumab Emtansine,175822575.6,6073797.0,22498.0,3496.0,28.94772011,7815.031362,50292.49874,0.0,182463588.6,6081919.8,22695.0,3501.0,30.00098564,8039.814435,52117.56315,0.0,170555487.1,5006444.0,18925.0,2822.0,34.06719162,9012.178973,60437.80548,0.0,144605153.7,3956279.0,14959.0,2287.0,36.55079779,9666.766076,63229.18834,0.0,142171218.2,3689752.0,13973,2206.0,38.53137507,10174.70967,64447.51505,0,39.32325,0.054186978,0.074113156,3.7771105202715503,False
J9355,"Injection, trastuzumab, excludes biosimilar, 10 mg",Herceptin,Trastuzumab,461739444.5,5030672.0,103691.0,13208.0,91.78484395,4453.032997,34959.07363,0.0,223709770.9,2734506.0,56471.0,6944.0,81.80993967,3961.498307,32216.26885,0.0,155340135.0,1839770.5,37518.0,4520.0,84.43451779,4140.416201,34367.28651,0.0,108679973.3,1368264.3,27795.0,3376.0,79.42907908,3910.054804,32191.93521,0.0,92619459.81,1195617.0,24605,2840.0,77.46582711,3764.253599,32612.48585,0,79.13375,-0.024717043,-0.041516156,-51.55064754273987,False
J9356,"Injection, trastuzumab, 10 mg and hyaluronidase-oysk",Herceptin Hylecta,Trastuzumab-Hyaluronidase-Oysk,12683674.32,166540.0,2767.0,396.0,76.15992747,4583.90832,32029.48061,0.0,19235277.84,265978.0,4417.0,597.0,72.31905586,4354.828581,32219.89588,0.0,23611908.47,343713.0,5494.0,701.0,68.69658253,4297.762736,33683.17899,0.0,23286409.13,361651.0,5806.0,743.0,64.3891739,4010.749075,31341.06209,0.0,26273989.84,411505.0,6592,920.0,63.84853122,3985.73875,28558.68461,0,65.0875,-0.008396484,-0.043123041,51.6538295978574,False
J9357,"Injection, valrubicin, intravesical, 200 mg",Valrubicin*,Valrubicin*,6511641.87,5078.0,1268.0,259.0,1282.324118,5135.364251,25141.4744,0.0,4799901.48,3744.0,911.0,178.0,1282.024968,5268.827091,26965.73865,1.0,5164351.09,3756.0,924.0,172.0,1374.960354,5589.124556,30025.29704,0.0,1924705.83,1379.0,380.0,77.0,1395.725765,5065.015342,24996.17961,0.0,2086508.93,1522.0,404,79.0,1370.899428,5164.626064,26411.50544,0,1400.602,-0.017787403,0.016838418,-26.28738533496775,False
J9358,"Injection, fam-trastuzumab deruxtecan-nxki, 1 mg",Enhertu,Fam-Trastuzumab Deruxtecn-Nxki,37181509.47,1547669.0,4188.0,864.0,24.02419992,8878.106368,43034.15448,0.0,109118974.4,4536106.0,11566.0,1904.0,24.05564914,9434.460867,57310.38571,0.0,257875574.7,10474847.5,26664.0,4841.0,24.6185517,9671.301181,53269.07141,0.0,464747798.6,18239702.0,47184.0,7105.0,25.48001051,9849.690543,65411.37207,0.0,581465185.0,21571940.0,56172,8410.0,26.95470065,10351.51294,69139.73663,0,27.5351941,0.057876355,0.029191984,193.47645094409881,False
J9359,"Injection, loncastuximab tesirine-lpyl, 0.075 mg",Zynlonta,Loncastuximab Tesirine-Lpyl,,,,,,,,,,,,,,,,,23389056.34,126592.0,857.0,254.0,184.7593556,27291.78103,92082.89898,0.0,29146424.17,153550.0,1077.0,285.0,189.8171551,27062.60369,102268.155,0.0,27272264.9,136489.0,976,243.0,199.8129146,27942.89437,112231.5428,0,203.47725,0.052659937,0.039940658,,True
J9360,"Injection, vinblastine sulfate, 1 mg",Vinblastine Sulfate,Vinblastine Sulfate,92818.88,23832.0,2459.0,483.0,3.894716348,37.74659618,192.1715942,0.0,98661.65,26178.8,2575.0,471.0,3.768761364,38.31520388,209.4727176,0.0,100492.36,25649.0,2697.0,495.0,3.917983547,37.26079347,203.0148687,0.0,92708.71,23672.0,2426.0,453.0,3.916386871,38.21463726,204.654989,0.0,93958.39,21870.0,2188,407.0,4.29622268,42.94259141,230.8559951,0,4.388,0.096986284,0.024832141,6.294807694296665,False
J9370,"Vincristine sulfate, 1 mg",Vincasar PFS*,Vincristine Sulfate*,153309.11,30315.5,17511.0,4363.0,5.057119625,8.755017418,35.13846207,0.0,140982.69,28081.0,16560.0,4125.0,5.020572273,8.513447464,34.17762182,0.0,126745.48,25999.0,15331.0,3802.0,4.875013654,8.267267628,33.33652814,0.0,127822.71,20993.0,12538.0,3193.0,6.088825323,10.19482453,40.03216724,0.0,136363.71,17200.1,10511,2667.0,7.928076581,12.97342879,51.13,0,8.08575,0.302069966,0.118964098,-8.040239748309794,False
